CALIFORNIA
Adelanto,31165,198,2,52,129,886,381,372,133,17
Agoura Hills,20762,19,0,10,7,306,109,185,12,7
Alameda,76206,158,0,85,63,1902,287,1285,330,17
Albany,19104,29,0,24,4,557,94,388,75,7
Alhambra,84710,163,1,81,72,1774,344,1196,234,7
Aliso Viejo,50005,25,0,4,19,315,71,224,20,3
Alturas,2681,28,1,2,21,71,23,46,2,0
American Canyon,20068,54,0,31,19,510,91,387,32,2
Anaheim,345320,1130,11,437,600,9611,1412,6518,1681,35
Anderson,10098,63,0,9,46,721,147,454,120,5
Antioch,106447,946,12,352,557,4440,1351,1872,1217,57
Apple Valley,71159,185,3,58,112,1594,596,775,223,22
Arcadia,57855,77,0,37,39,1518,376,1080,62,3
Arcata,17805,67,3,15,42,841,147,634,60,14
Arroyo Grande,17634,31,0,4,22,455,137,288,30,0
Artesia,16734,63,2,28,33,323,91,177,55,1
Arvin,20390,153,2,16,134,744,323,308,113,15
Atascadero,28938,97,1,24,60,544,119,400,25,7
Atherton,7278,10,0,1,8,115,34,78,3,1
Atwater,28906,182,1,22,152,1323,361,804,158,5
Auburn,13779,49,0,13,34,302,86,190,26,7
Avalon,3777,4,0,2,2,88,13,57,18,1
Avenal,14712,62,0,6,52,147,63,67,17,2
Azusa,47754,246,2,36,204,1098,256,671,171,6
Bakersfield,361859,1857,24,708,1082,16814,4605,9272,2937,193
Baldwin Park,76745,220,5,74,135,1370,280,727,363,8
Banning,30503,129,2,26,92,808,355,323,130,0
Barstow,23144,229,3,45,168,785,329,354,102,11
Bear Valley,5328,12,0,0,11,111,10,101,0,0
Beaumont,40208,85,1,20,56,1298,180,1015,103,6
Bell,35928,208,0,81,117,535,124,334,77,0
Bellflower,77594,279,1,105,164,1882,427,968,487,13
Bell Gardens,42980,120,1,56,60,763,141,351,271,2
Belmont,26697,27,1,4,17,437,129,269,39,1
Belvedere,2120,0,0,0,0,26,5,20,1,0
Benicia,27558,30,0,8,18,383,134,199,50,8
Berkeley,116217,562,4,410,122,5377,1055,3658,664,16
Beverly Hills,34780,77,0,29,43,1179,239,899,41,4
Big Bear Lake,5144,56,0,5,46,215,77,126,12,1
Biggs,1711,16,0,0,16,34,11,18,5,0
Bishop,3861,28,0,4,24,108,24,80,4,0
Blythe,20629,65,1,20,40,693,223,435,35,25
Bradbury,1080,1,0,0,1,16,5,9,2,0
Brawley,25753,61,0,7,49,1211,301,854,56,36
Brea,40600,64,2,22,36,1210,205,939,66,3
Brentwood,54301,89,0,20,58,1214,253,848,113,5
Brisbane,4429,5,0,1,4,98,19,73,6,1
Broadmoor,4301,14,0,2,9,55,20,29,6,0
Buellton,4927,7,0,1,3,62,15,46,1,0
Buena Park,82632,221,2,80,126,2165,361,1435,369,2
Burbank,104727,171,0,51,107,2430,285,1926,219,6
Burlingame,29936,37,0,12,23,665,148,472,45,5
Calabasas,24114,20,0,6,11,313,84,222,7,7
Calexico,39527,92,0,27,65,1474,362,837,275,3
California City,13339,87,0,9,74,683,425,239,19,0
Calimesa,8118,14,0,5,9,165,44,106,15,0
Calistoga,5223,9,0,1,7,75,27,45,3,0
Camarillo,66173,73,0,25,42,1130,205,849,76,9
Campbell,40549,106,2,24,68,1563,341,1016,206,11
Canyon Lake,10944,3,0,0,3,157,34,109,14,0
Capitola,10038,38,1,4,30,600,41,532,27,2
Carlsbad,110505,221,1,44,153,2085,525,1436,124,10
Carmel,3833,9,0,2,5,105,32,70,3,0
Carpinteria,13287,21,0,4,14,261,50,191,20,0
Carson,93415,400,3,148,234,2251,514,1248,489,9
Cathedral City,53064,149,4,44,92,1118,399,417,302,1
Central Marin,34105,41,0,12,24,695,276,358,61,1
Ceres,45876,133,1,41,82,1720,355,1026,339,14
Cerritos,49816,82,0,42,36,1802,374,1210,218,6
Chico,88226,299,2,95,161,2572,622,1568,382,37
Chino,80704,258,4,47,200,2044,518,1249,277,4
Chino Hills,76943,63,0,11,47,1017,315,615,87,4
Chowchilla,17696,81,0,7,71,452,196,213,43,7
Chula Vista,255073,595,2,248,316,5284,971,3532,781,35
Citrus Heights,85337,320,7,76,218,2653,483,1825,345,14
City of Angels,3729,9,0,1,7,57,28,26,3,0
Claremont,35623,37,0,23,12,894,280,546,68,5
Clayton,11439,2,0,2,0,101,37,54,10,0
Clearlake,14951,125,2,21,89,690,309,292,89,13
Cloverdale,8718,5,0,0,5,158,44,102,12,1
Clovis,99483,181,0,47,111,3404,879,2220,305,12
Coachella,43330,118,2,56,58,1372,358,634,380,5
Coalinga,16398,131,0,6,118,485,169,282,34,12
Colma,1481,5,0,1,3,273,13,238,22,1
Colton,53403,161,2,69,84,1936,532,1018,386,1
Colusa,5957,10,0,2,4,138,47,71,20,0
Commerce,12995,83,1,39,41,893,101,515,277,6
Compton,97907,1242,36,360,820,2538,579,1160,799,39
Concord,125464,407,1,159,235,4357,825,2764,768,9
