NEBRASKA
Alliance,8510,20,0,1,11,136,57,76,3,1
Ashland,2502,2,0,0,2,17,2,15,0,0
Aurora,4397,1,0,0,0,31,17,12,2,0
Beatrice,12055,66,0,2,43,392,76,308,8,2
Bellevue,53023,70,0,28,29,963,138,717,108,5
Bennington,1476,0,0,0,0,26,12,11,3,0
Blair,7978,8,0,2,1,119,30,84,5,1
Bridgeport,1501,0,0,0,0,25,5,20,0,0
Broken Bow,3464,6,0,0,0,33,5,28,0,0
Central City,2908,1,0,0,1,63,7,55,1,0
Chadron,5845,9,0,0,7,186,17,162,7,2
Columbus,22624,22,1,2,13,510,70,433,7,2
Cozad,3929,4,0,0,3,39,6,31,2,0
Crete,7238,15,0,2,10,212,43,162,7,3
Falls City,4294,2,0,0,2,61,15,41,5,2
Fremont,26098,45,0,3,15,656,99,535,22,8
Gering,8480,0,0,0,0,184,39,135,10,0
Gordon,1552,7,0,0,6,23,0,22,1,0
Gothenburg,3557,1,0,0,1,90,14,74,2,0
Grand Island,50441,136,1,8,91,2389,526,1759,104,7
Hastings,25012,54,0,4,27,922,198,689,35,4
Holdrege,5548,6,0,0,3,122,29,90,3,0
Imperial,2140,5,0,0,5,15,4,11,0,0
Kearney,32113,56,0,5,35,825,134,663,28,5
Kimball,2455,18,0,0,18,10,2,8,0,0
La Vista,17790,7,0,3,3,215,27,170,18,1
Lexington,10204,27,0,3,13,275,39,226,10,4
Lincoln,267565,990,5,212,631,9354,1423,7625,306,40
Madison,2424,3,0,0,3,18,8,8,2,0
McCook,7639,10,0,0,3,215,38,166,11,0
Milford,2177,0,0,0,0,26,8,18,0,1
Minden,2972,3,0,0,2,57,9,45,3,0
Mitchell,1698,0,0,0,0,21,3,17,1,0
Nebraska City,7269,6,0,0,3,179,38,132,9,0
Norfolk,24362,30,0,1,10,864,135,675,54,1
Ogallala,4620,3,0,0,1,137,9,121,7,0
Omaha,425076,2449,42,718,1505,19108,3509,12519,3080,83
O'Neill,3677,0,0,0,0,7,0,6,1,0
Papillion,21274,10,0,4,1,373,34,322,17,1
Plattsmouth,6422,3,0,0,1,122,7,103,12,0
Ralston,7662,6,1,2,1,213,33,160,20,2
Scottsbluff,15057,41,0,6,25,720,127,578,15,1
Seward,7063,6,0,0,5,85,8,75,2,0
South Sioux City,13407,13,0,1,12,250,14,232,4,0
Superior,1925,1,0,0,1,12,1,10,1,0
Valentine,2768,8,0,0,7,25,5,17,3,0
Valley,1994,4,0,0,1,45,8,35,2,0
Wahoo,4493,2,0,0,2,55,16,38,1,1
West Point,3329,0,0,0,0,1,0,1,0,0
Wilber,1912,0,0,0,0,25,4,19,2,0
York,7875,1,0,0,1,196,20,162,14,0
